PERIODO,MES,DIA_FESTIVO,FECHA_ESPECIAL,FESTIVO_FECHA_ESPECIAL
2014,1,2,2,2
2014,2,0,1,0
2014,3,1,2,0
2014,4,3,3,3
2014,5,1,2,0
2014,6,3,4,0
2014,7,1,1,1
2014,8,2,2,2
2014,9,0,1,0
2014,10,1,1,0
2014,11,2,0,0
2014,12,2,4,2
2015,1,2,2,2
2015,2,0,1,0
2015,3,1,2,0
2015,4,3,3,3
2015,5,2,2,0
2015,6,3,4,0
2015,7,1,1,1
2015,8,2,2,1
2015,9,0,1,0
2015,10,1,1,0
2015,11,2,0,0
2015,12,2,4,2
2016,1,2,2,2
2016,2,0,1,0
2016,3,4,2,3
2016,4,0,0,0
2016,5,2,2,0
2016,6,1,0,0
2016,7,2,1,1
2016,8,2,0,1
2016,9,0,1,0
2016,10,1,1,0
2016,11,2,0,0
2016,12,2,4,2
2017,1,2,2,2
2017,2,0,1,0
2017,3,1,1,0
2017,4,3,3,3
2017,5,2,2,1
2017,6,2,1,0
2017,7,2,1,1
2017,8,2,1,0
2017,9,0,1,0
2017,10,1,1,0
2017,11,2,0,0
2017,12,2,4,2
