"FECHA","accidentes_choque","estimaciones_choque","accidentes_atropello","estimaciones_atropello","accidentes_caida_ocupante","accidentes_volcamiento","estimaciones_caida_ocupante","estimaciones_volcamiento","accidentes_otros","estimaciones_otros"
2014-03-01,2776,2499,487,438,438,136,417,108,428,445
2014-04-01,2410,2530,420,415,443,88,387,120,368,398
2014-05-01,2614,2508,426,442,438,93,403,112,435,442
2014-06-01,2339,2400,452,412,425,103,367,108,417,416
2014-07-01,2594,2561,481,450,442,103,401,113,462,446
2014-08-01,2551,2586,471,462,443,111,467,114,495,462
2014-09-01,2595,2588,443,460,450,94,432,115,443,442
2014-10-01,2549,2559,419,436,361,85,396,110,459,441
2014-11-01,2342,2471,387,386,356,99,370,112,428,417
2014-12-01,2527,2496,434,412,365,81,351,105,423,423
2015-01-01,2019,2464,396,396,330,117,364,111,401,412
2015-02-01,2392,2593,390,402,302,115,335,123,382,431
2015-03-01,2596,2535,435,421,428,108,390,130,429,415
2015-04-01,2503,2480,382,400,351,118,368,117,392,406
2015-05-01,2655,2530,450,398,400,116,364,126,433,457
2015-06-01,2384,2440,409,395,340,136,358,122,330,415
2015-07-01,2780,2622,431,433,352,189,350,134,444,419
2015-08-01,2722,2750,414,406,435,177,409,159,452,460
2015-09-01,2887,2712,431,409,375,162,401,152,428,428
2015-10-01,2780,2686,409,392,333,157,370,150,457,433
2015-11-01,2491,2601,332,362,340,162,343,150,399,420
2015-12-01,2647,2610,424,381,327,140,323,137,395,416
2016-01-01,2188,2570,345,357,308,116,342,144,365,407
2016-02-01,2524,2591,397,385,351,158,322,134,428,411
2016-03-01,2526,2516,392,394,343,164,372,141,520,436
2016-04-01,2670,2682,365,372,332,169,345,151,456,460
2016-05-01,2599,2590,351,365,351,132,337,156,504,489
2016-06-01,2437,2531,346,359,309,157,327,140,480,455
2016-07-01,2718,2628,395,368,326,135,322,148,521,491
2016-08-01,2871,2680,378,379,424,165,410,143,537,495
2016-09-01,2781,2689,418,381,397,140,367,140,484,470
2016-10-01,2875,2644,404,378,393,154,368,138,503,465
2016-11-01,2603,2596,346,364,390,157,375,139,412,427
2016-12-01,2623,2568,377,386,301,119,332,130,430,421
2017-01-01,2346,2532,288,353,320,141,335,138,382,416
2017-02-01,2679,2638,323,349,277,138,305,138,448,417
2017-03-01,2603,2610,350,351,396,141,370,145,423,440
2017-04-01,2488,2507,319,341,287,144,317,134,412,414
2017-05-01,2668,2577,323,340,305,195,334,146,559,471
2017-06-01,2504,2614,282,322,247,178,292,166,519,490
2017-07-01,2733,2667,333,334,276,142,290,175,496,508
2017-08-01,2893,2659,369,336,408,186,374,155,477,479
2017-09-01,2815,2730,354,347,379,168,352,151,469,443
2017-10-01,2740,2698,319,354,378,150,343,154,439,459
2017-11-01,2527,2588,321,319,316,149,335,144,384,411
2017-12-01,2596,2586,339,341,353,122,317,133,372,411
2018-01-01,2127,2537,286,340,294,89,330,133,393,396
2018-02-01,2482,2542,273,337,305,104,304,123,305,426
2018-03-01,2423,2452,333,343,422,96,341,122,359,383
2018-04-01,2525,2522,327,330,347,102,339,112,334,391
2018-05-01,2588,2501,325,344,372,124,357,119,377,426
2018-06-01,2405,2485,339,340,341,113,315,125,390,403
2018-07-01,2511,2547,334,365,363,131,333,127,398,441
2018-08-01,2800,2638,340,365,400,91,391,131,344,444
2018-09-01,2651,2551,341,352,300,122,363,116,377,380
2018-10-01,2760,2611,330,343,364,140,341,129,366,413
2018-11-01,2549,2570,287,315,271,114,318,134,298,385
2018-12-01,2660,2523,346,338,259,112,304,124,298,372
